"Timestamp","SECTION 1: Basic Info
What is your gender?","What is your age group?","What is your occupation?","How often do you use inDrive?","SECTION 2: Trip Details 
Which area do you usually travel FROM?","Which area do you usually travel TO? ","What is your most common reason for using inDrive?","What time do you usually book rides? (Select all that apply)","SECTION 3: Fare & Negotiation 
What fare do you usually offer for your most common route? (in PKR)","Does inDrive's suggested fare feel reasonable to you?","How much do you typically offer compared to the suggested fare?","How many drivers usually respond to your request?","Do you wait longer to get a ride during certain times?","SECTION 4: Peak Hours & Pricing Perception 
Have you noticed fares going higher at certain times of day?","If yes, when do you feel fares are highest? (Select all that apply)","Do you change your travel time to avoid high fares?","Has rain or bad weather affected your fare or wait time?","SECTION 5: Overall Experience 
Compared to other ride-hailing apps in Lahore (Careem, Uber, Bykea), inDrive fares are:","What is your biggest frustration with inDrive?","Would you recommend inDrive to others in Lahore?"
"2026/03/05 6:24:36 PM GMT+5","Male","25–34","Employed","A few times a month","Shershah colony lahore","Johar town, Kasur","Work","Morning (8–11 AM);Night (6–10 PM)","Above 750","Usually","I offer exactly suggested","3–5","No, I usually get picked up quickly","Yes","During rain","Sometimes","Yes, fare went up","Slightly cheaper","High fares","Maybe"
"2026/03/05 7:42:06 PM GMT+5","Female","18–24","Student","Daily","Tariq Jameel road","Dubai town","University/School","Early Morning (5–8 AM);Afternoon (11 AM–2 PM)","100–200","Rarely","I offer exactly suggested","More than 5","Yes, mornings","Yes","Morning rush (8–10 AM);Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","Much cheaper","Long wait","Maybe"
"2026/03/05 7:50:51 PM GMT+5","Female","18–24","Student","Once a week","Badami bagh","Gulberg ","University/School","Early Morning (5–8 AM)","350–500","Sometimes","I offer slightly more to get accepted faster","1–2","No, I usually get picked up quickly","Yes","Morning rush (8–10 AM)","Sometimes","I don't use it in rain","About the same","Drivers rejecting offers","Yes"
"2026/03/05 7:54:45 PM GMT+5","Male","18–24","Student","Once a week","Wapda town, College road","","University/School","Afternoon (11 AM–2 PM);Night (6–10 PM)","500–750","Rarely","I offer exactly suggested","3–5","Yes, late night","Yes","Morning rush (8–10 AM);Late night;Weekends;During rain","No, I travel whenever needed","Yes, fare went up","Slightly cheaper","Drivers rejecting offers","Maybe"
"2026/03/05 7:55:21 PM GMT+5","Male","18–24","Student","A few times a month","Bahia town Lahore ","superior university gold campus","University/School","Afternoon (11 AM–2 PM)","200–350","Usually","I offer exactly suggested","More than 5","No, I usually get picked up quickly","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","No difference","Much cheaper","Safety concerns","Yes"
"2026/03/05 7:55:27 PM GMT+5","Female","18–24","Student","Once a week","Sultan town ","Superior uni ","University/School","Afternoon (11 AM–2 PM)","200–350","Usually","I offer less than suggested","None","No, I usually get picked up quickly","Not sure","During rain","Sometimes","I don't use it in rain","About the same","Drivers rejecting offers","No"
"2026/03/05 7:57:44 PM GMT+5","Male","18–24","Student","Rarely","Wapda Town","Collage road","Other","Night (6–10 PM)","200–350","Sometimes","I offer exactly suggested","3–5","No, I usually get picked up quickly","Not sure","During rain","No, I travel whenever needed","Yes, fare went up","About the same","Nothing, I'm satisfied","Yes"
"2026/03/05 8:14:31 PM GMT+5","Female","18–24","Student","Once a week","Gulberg","Gulberg","University/School","Early Morning (5–8 AM);Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM);Night (6–10 PM);Late Night (10 PM+)","Above 750","Always","I offer slightly more to get accepted faster","3–5","Yes, mornings","Yes","Morning rush (8–10 AM);Evening rush (5–8 PM);Late night;Weekends;During rain","Sometimes","Both (fare up and wait longer)","About the same","Long wait","Yes"
"2026/03/05 8:40:59 PM GMT+5","Female","18–24","Student","3–5 times a week","Shershah ","Superior university ","University/School","Morning (8–11 AM);Evening (2–6 PM)","100–200","Sometimes","I offer exactly suggested","3–5","Yes, mornings","Yes","Morning rush (8–10 AM);Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","About the same","Drivers rejecting offers","Yes"
"2026/03/05 8:44:56 PM GMT+5","Female","18–24","Student","3–5 times a week","Mustafa town","Johar Town / its vary where I have to go","University/School","Afternoon (11 AM–2 PM)","350–500","Usually","I offer exactly suggested","1–2","Yes, mornings","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","Long wait","Yes"
"2026/03/05 8:46:07 PM GMT+5","Female","18–24","Other","A few times a month","Sant nagar","Gulberg","Shopping","Evening (2–6 PM)","350–500","Sometimes","I offer exactly suggested","More than 5","Yes, evenings","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","Yes, wait was longer","Slightly cheaper","Nothing, I'm satisfied","Yes"
"2026/03/05 8:51:58 PM GMT+5","Female","25–34","Student","Rarely","Johar town ","Gulberg","University/School","Afternoon (11 AM–2 PM)","100–200","Usually","I offer less than suggested","3–5","Yes, mornings","Yes","Afternoon (1–3 PM)","Sometimes","Both (fare up and wait longer)","Slightly cheaper","",""
"2026/03/05 8:52:11 PM GMT+5","","","","","","","","","","","","","","","","","","","",""
"2026/03/05 8:53:42 PM GMT+5","Female","25–34","Student","A few times a month","Johar town ","Gulberg ","University/School","Early Morning (5–8 AM);Afternoon (11 AM–2 PM)","100–200","Usually","I offer less than suggested","3–5","Yes, evenings","Yes","Afternoon (1–3 PM)","Sometimes","Both (fare up and wait longer)","Slightly cheaper","Long wait","Yes"
"2026/03/05 9:00:20 PM GMT+5","Female","25–34","Employed","3–5 times a week","Defence","Johar town ","Work","Morning (8–11 AM)","200–350","Usually","I offer less than suggested","1–2","Yes, mornings","Yes","Morning rush (8–10 AM)","Yes, always","Yes, fare went up","About the same","High fares","Yes"
"2026/03/05 9:00:31 PM GMT+5","Female","18–24","Student","A few times a month","Thokar","Raiwind road( superior uni)","University/School","Morning (8–11 AM)","350–500","Sometimes","I offer less than suggested","3–5","No, I usually get picked up quickly","Yes","Late night;Weekends;During rain","No, I travel whenever needed","Both (fare up and wait longer)","About the same","Long wait","Yes"
